t_s,sclk_mhz,sclk_max_mhz,busy_pct,power_w,power_cap_w,temp_c,reasons
113.00,1935,2100,100,189.58,200.00,63,
113.56,1950,2100,100,190.57,200.00,63,
114.12,1950,2100,100,192.36,200.00,64,
114.67,1935,2100,100,190.24,200.00,64,
115.22,1935,2100,100,189.91,200.00,64,
115.77,1935,2100,100,189.52,200.00,63,
116.33,1950,2100,100,190.37,200.00,63,
116.88,1950,2100,100,192.07,200.00,64,
117.41,1935,2100,100,189.53,200.00,64,
117.97,1935,2100,100,189.67,200.00,63,
118.52,1950,2100,100,190.54,200.00,63,
119.08,1950,2100,100,192.37,200.00,63,
119.63,1935,2100,100,189.83,200.00,64,
120.17,1935,2100,100,189.46,200.00,64,
120.72,1935,2100,100,189.66,200.00,63,
121.28,1950,2100,100,190.55,200.00,63,
121.83,1950,2100,100,192.48,200.00,63,
122.39,1935,2100,100,189.90,200.00,64,
122.94,1935,2100,100,189.43,200.00,63,
123.50,1950,2100,100,190.50,200.00,63,
124.05,1950,2100,100,193.00,200.00,63,
124.61,1935,2100,100,190.24,200.00,64,
125.16,1935,2100,100,189.36,200.00,64,
125.72,1935,2100,100,189.34,200.00,63,
126.27,1935,2100,100,190.18,200.00,63,
126.80,1950,2100,100,192.63,200.00,63,
127.41,1950,2100,100,190.64,200.00,64,
127.95,1935,2100,100,189.96,200.00,64,
128.48,1935,2100,100,190.06,200.00,63,
129.04,1950,2100,100,192.32,200.00,63,
129.59,1950,2100,100,190.21,200.00,64,
130.15,1935,2100,100,189.79,200.00,64,
130.70,1935,2100,100,189.76,200.00,64,
131.25,1935,2100,100,190.02,200.00,63,
131.81,1950,2100,100,192.30,200.00,63,
132.36,1950,2100,100,190.18,200.00,64,
132.92,1935,2100,100,189.81,200.00,64,
133.47,1935,2100,100,190.33,200.00,63,
134.03,1950,2100,100,192.72,200.00,63,
134.58,1950,2100,100,190.47,200.00,64,
135.14,1935,2100,100,189.43,200.00,64,
135.69,1935,2100,100,189.51,200.00,64,
136.24,1935,2100,100,190.03,200.00,63,
136.78,1950,2100,100,193.06,200.00,63,
137.33,1950,2100,100,190.66,200.00,64,
137.89,1935,2100,100,189.48,200.00,63,
138.45,1935,2100,100,189.64,200.00,63,
139.00,1950,2100,100,192.96,200.00,63,
139.56,1935,2100,100,190.90,200.00,64,
140.11,1935,2100,100,189.68,200.00,64,
140.67,1935,2100,100,189.43,200.00,63,
141.23,1935,2100,100,189.36,200.00,63,
141.76,1950,2100,100,192.53,200.00,63,
142.31,1935,2100,100,190.83,200.00,64,
142.87,1935,2100,100,189.88,200.00,64,
143.44,1935,2100,100,189.84,200.00,63,
144.01,1950,2100,100,192.71,200.00,63,
144.57,1935,2100,100,190.67,200.00,64,
145.12,1935,2100,100,189.15,200.00,64,
145.68,1935,2100,100,189.69,200.00,63,
146.24,1935,2100,100,189.85,200.00,63,
146.79,1950,2100,100,192.74,200.00,63,
147.35,1935,2100,100,190.95,200.00,64,
147.90,1935,2100,100,189.41,200.00,64,
148.46,1935,2100,100,189.21,200.00,63,
149.01,1950,2100,100,192.24,200.00,63,
149.57,1935,2100,100,190.85,200.00,64,
150.12,1935,2100,100,189.17,200.00,64,
150.67,1935,2100,100,189.57,200.00,63,
151.23,1935,2100,100,189.02,200.00,63,
151.78,1950,2100,100,191.97,200.00,63,
152.34,1935,2100,100,190.94,200.00,64,
152.89,1935,2100,100,189.63,200.00,64,
153.44,1935,2100,100,188.86,200.00,63,
154.00,1950,2100,100,191.94,200.00,63,
154.56,1935,2100,100,191.14,200.00,64,
155.11,1935,2100,100,190.21,200.00,64,
155.67,1935,2100,100,190.07,200.00,63,
156.22,1935,2100,100,188.97,200.00,63,
156.76,1950,2100,100,191.79,200.00,63,
157.30,1950,2100,100,191.20,200.00,63,
157.85,1935,2100,100,189.73,200.00,63,
158.39,1935,2100,100,189.73,200.00,63,
158.94,1950,2100,100,192.05,200.00,63,
159.49,1950,2100,100,191.40,200.00,63,
160.05,1935,2100,100,189.63,200.00,63,
160.60,1935,2100,100,189.54,200.00,63,
161.17,1935,2100,100,189.21,200.00,63,
161.72,1950,2100,100,192.09,200.00,63,
162.27,1950,2100,100,191.94,200.00,63,
162.81,1935,2100,100,190.04,200.00,63,
163.37,1935,2100,100,189.62,200.00,63,
163.92,1950,2100,100,191.38,200.00,63,
164.47,1950,2100,100,191.26,200.00,63,
165.03,1935,2100,100,189.79,200.00,63,
165.58,1935,2100,100,189.73,200.00,63,
166.15,1935,2100,100,189.21,200.00,63,
166.71,1950,2100,100,191.27,200.00,63,
167.26,1950,2100,100,190.85,200.00,63,
167.82,1935,2100,100,189.26,200.00,63,
168.39,1935,2100,100,189.55,200.00,63,
168.94,1950,2100,100,188.63,200.00,63,
169.50,1950,2100,100,191.52,200.00,63,
170.05,1935,2100,100,190.92,200.00,63,
170.61,1935,2100,100,189.82,200.00,63,
171.16,1935,2100,100,189.70,200.00,63,
171.72,1950,2100,100,189.15,200.00,63,
